Linux 3.8.0-19-generic (ip-10-58-125-169) 	06/06/2013 	_x86_64_	(1 CPU)

08:44:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
08:47:20 PM  all    2.10    0.00    0.00    0.00    0.00    0.00   97.90    0.00    0.00
08:47:21 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:22 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:23 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:24 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:25 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:26 PM  all    2.44    0.00    0.00    0.00    0.00    0.00   97.56    0.00    0.00
08:47:27 PM  all   21.43    0.00    0.00    0.00    0.00    0.00   78.57    0.00    0.00
08:47:29 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:30 PM  all    6.64    0.00    0.47    0.00    0.00    0.00   92.89    0.00    0.00
08:47:31 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:32 PM  all   93.33    0.00    6.67    0.00    0.00    0.00    0.00    0.00    0.00
08:47:33 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:34 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:35 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:36 PM  all    2.46    0.00    0.00    0.00    0.00    0.00   97.54    0.00    0.00
08:47:37 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:38 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:39 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:40 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:41 PM  all    2.99    0.00    0.00    0.00    0.00    0.00   97.01    0.00    0.00
08:47:42 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:43 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:44 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:45 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:46 PM  all   30.21    0.00    0.00    0.00    0.00    0.00   69.79    0.00    0.00
08:47:47 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
