Linux 3.8.0-19-generic (ip-10-34-167-107) 	06/07/2013 	_x86_64_	(1 CPU)

07:48:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
07:52:27 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:28 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:29 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:30 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:31 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:32 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:33 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:34 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:35 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:36 AM  all   98.33    0.00    1.67    0.00    0.00    0.00    0.00    0.00    0.00
07:52:37 AM  all    8.92    0.00    0.00    0.00    0.00    0.00   91.08    0.00    0.00
07:52:38 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:39 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:40 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:41 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:42 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:43 AM  all   98.28    0.00    1.72    0.00    0.00    0.00    0.00    0.00    0.00
07:52:44 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:45 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:46 AM  all   11.07    0.00    0.00    0.00    0.00    0.00   88.93    0.00    0.00
07:52:47 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:48 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:49 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:50 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:51 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:52 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:53 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:54 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:55 AM  all   11.86    0.00    0.20    0.00    0.00    0.00   87.93    0.00    0.00
07:52:56 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:57 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:58 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:59 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:53:00 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:53:01 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:53:02 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:53:03 AM  all   11.69    0.00    0.00    0.00    0.00    0.00   88.31    0.00    0.00
07:53:04 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:53:05 AM  all   34.68    0.00    0.58    0.00    0.00    0.00   64.74    0.00    0.00
07:53:06 AM  all   68.29    0.00    0.00    0.00    0.00    0.00   31.71    0.00    0.00
07:53:07 AM  all   98.31    0.00    1.69    0.00    0.00    0.00    0.00    0.00    0.00
07:53:08 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:53:09 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:53:10 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:53:11 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
